Date,P1_QQQ_vs_IWM_Cumulative_Growth,P2_SPY_vs_IWM_Cumulative_Growth,P3_Long_QQQ_Cumulative_Growth,P4_Long_SPY_Cumulative_Growth,P5_Long_IWM_Cumulative_Growth
2021-11-10,119.74,108.56,116.58,110.36,105.22
2021-11-11,118.68,107.02,116.89,110.4,106.06
2021-11-12,120.58,108.32,118.12,111.22,106.17
2021-11-15,121.34,109.18,118.1,111.26,105.74
2021-11-16,122.4,109.62,118.94,111.7,105.93
2021-11-17,125.12,111.76,119.0,111.43,104.54
2021-11-18,128.04,113.28,120.23,111.81,104.1
2021-11-19,130.98,114.74,120.91,111.61,103.16
2021-11-22,129.52,115.04,119.5,111.3,102.71
2021-11-23,128.94,115.64,118.95,111.44,102.54
2021-11-24,129.36,115.96,119.33,111.74,102.65
2021-11-26,133.1,119.04,117.07,109.25,98.78
2021-11-29,137.56,121.62,119.61,110.6,98.72
2021-11-30,138.7,121.8,117.85,108.44,96.71
2021-12-01,139.8,124.08,115.85,107.24,94.53
2021-12-02,135.66,121.56,116.68,108.88,97.17
2021-12-03,136.28,123.92,114.65,107.93,95.18
2021-12-06,133.86,122.26,115.57,109.2,97.09
2021-12-07,135.24,121.76,119.05,111.46,99.34
2021-12-08,134.78,120.92,119.58,111.75,100.02
2021-12-09,136.36,124.08,117.82,110.99,97.76
2021-12-10,139.1,126.52,119.11,112.04,97.49
2021-12-13,139.72,128.26,117.38,111.04,95.77
2021-12-14,139.38,128.6,116.17,110.27,94.95
2021-12-15,140.76,128.54,118.82,111.99,96.46
2021-12-16,139.66,130.82,115.77,111.01,94.51
2021-12-17,136.82,126.16,115.19,109.44,95.38
2021-12-20,137.42,126.84,113.92,108.28,94.04
2021-12-21,136.18,124.68,116.47,110.21,96.73
2021-12-22,136.7,124.76,117.89,111.31,97.66
2021-12-23,136.6,124.4,118.78,112.0,98.44
2021-12-27,138.02,125.36,120.74,113.59,99.37
2021-12-28,138.32,126.42,120.18,113.5,98.76
2021-12-29,138.08,126.46,120.17,113.65,98.87
2021-12-30,137.54,125.96,119.81,113.33,98.84
2021-12-31,136.74,125.9,119.07,113.05,98.62
2022-01-03,136.08,124.48,120.21,113.7,99.89
2022-01-04,133.78,124.72,118.65,113.67,99.74
2022-01-05,134.42,127.66,115.0,111.49,96.36
2022-01-06,133.14,126.34,114.92,111.39,96.91
2022-01-07,133.3,127.86,113.68,110.94,95.79
2022-01-10,134.14,128.32,113.76,110.81,95.45
2022-01-11,135.02,128.02,115.47,111.82,96.46
2022-01-12,137.3,130.04,115.93,112.12,95.75
2022-01-13,134.14,129.12,113.03,110.57,94.87
2022-01-14,135.1,128.92,113.73,110.62,95.0
2022-01-18,136.16,131.42,110.9,108.66,92.13
2022-01-19,137.22,132.6,109.68,107.53,90.63
2022-01-20,138.24,134.0,108.26,106.33,88.99
2022-01-21,136.44,133.82,105.26,104.25,87.33
2022-01-24,132.76,130.06,105.74,104.69,89.34
2022-01-25,130.78,130.28,103.29,103.41,88.15
2022-01-26,133.34,132.66,103.12,103.15,86.88
2022-01-27,135.86,136.22,102.08,102.65,84.91
2022-01-28,138.24,137.28,105.29,105.19,86.56
2022-01-31,138.5,134.74,108.66,107.09,89.22
2022-02-01,137.76,134.0,109.39,107.81,90.16
2022-02-02,141.36,137.92,110.28,108.86,89.26
2022-02-03,137.02,137.0,105.8,106.3,87.58
2022-02-04,138.68,137.08,107.14,106.8,87.95
2022-02-07,136.1,135.46,106.28,106.46,88.38
2022-02-08,134.92,133.68,107.47,107.33,89.9
2022-02-09,135.36,132.8,109.75,108.9,91.6
2022-02-10,133.9,132.26,107.27,106.94,90.2
2022-02-11,129.58,130.34,103.87,104.83,89.29
2022-02-14,130.52,130.38,103.99,104.49,88.98
2022-02-15,130.12,128.24,106.57,106.17,91.36
2022-02-16,129.64,128.04,106.54,106.29,91.55
2022-02-17,128.82,128.88,103.37,104.01,89.21
2022-02-18,128.26,129.3,102.2,103.34,88.44
2022-02-22,129.08,129.98,101.17,102.23,87.2
2022-02-23,127.7,130.18,98.58,100.42,85.57
2022-02-24,129.18,127.94,101.9,101.93,87.81
2022-02-25,127.78,127.86,103.48,104.18,89.78
2022-02-28,127.58,126.54,103.79,103.91,90.14
2022-03-01,128.28,127.26,102.2,102.33,88.45
2022-03-02,126.88,126.18,103.92,104.21,90.55
2022-03-03,126.38,127.54,102.43,103.69,89.48
2022-03-04,126.62,129.06,100.94,102.85,88.08
2022-03-07,124.22,128.14,97.22,99.82,85.89
2022-03-08,122.18,125.52,96.76,99.06,86.36
2022-03-09,123.74,125.24,100.25,101.71,88.79
2022-03-10,121.88,124.7,99.13,101.25,88.63
2022-03-11,120.94,125.36,97.08,99.97,87.22
2022-03-14,121.18,127.98,95.22,99.24,85.44
2022-03-15,124.28,129.2,98.21,101.42,86.8
2022-03-16,125.4,127.34,101.85,103.67,89.53
2022-03-17,124.68,126.7,103.08,104.97,90.94
2022-03-18,126.68,126.16,105.2,105.79,91.89
2022-03-21,127.64,127.86,104.78,105.76,91.08
2022-03-22,129.56,128.2,106.83,106.99,91.99
2022-03-23,130.14,129.08,105.29,105.61,90.4
2022-03-24,132.68,130.2,107.63,107.21,91.26
2022-03-25,132.24,130.9,107.54,107.73,91.39
2022-03-28,135.28,132.26,109.21,108.5,91.41
2022-03-29,133.36,129.38,111.09,109.84,93.86
2022-03-30,135.16,132.16,109.85,109.16,91.98
2022-03-31,134.8,131.2,108.49,107.48,91.0
2022-04-01,132.18,129.52,108.29,107.78,92.02
2022-04-04,135.98,130.92,110.52,108.71,92.17
2022-04-05,136.28,133.14,108.06,107.34,89.98
2022-04-06,134.78,133.98,105.72,106.27,88.71
2022-04-07,135.9,135.62,105.97,106.8,88.42
2022-04-08,134.7,136.68,104.49,106.51,87.72
2022-04-11,131.3,134.6,102.01,104.69,87.13
2022-04-12,129.82,133.22,101.58,104.3,87.41
2022-04-13,130.08,131.72,103.65,105.5,89.07
2022-04-14,127.44,131.16,101.27,104.18,88.2
2022-04-18,128.94,132.58,101.35,104.22,87.61
2022-04-19,129.44,131.82,103.62,105.9,89.36
2022-04-20,125.76,130.92,102.11,105.83,89.7
2022-04-21,126.1,132.4,100.0,104.24,87.69
2022-04-22,126.04,132.1,97.38,101.38,85.42
2022-04-25,127.4,132.04,98.63,101.97,85.94
2022-04-26,126.14,132.54,94.9,99.01,83.23
2022-04-27,126.74,133.94,94.79,99.29,82.88
2022-04-28,130.1,135.26,98.16,101.8,84.43
2022-04-29,126.88,133.64,93.74,98.04,81.99
2022-05-02,128.12,132.74,95.3,98.63,82.85
2022-05-03,126.62,131.94,95.41,99.08,83.56
2022-05-04,128.04,132.7,98.63,102.1,85.79
2022-05-05,126.08,133.72,93.66,98.48,82.31
2022-05-06,127.0,135.84,92.54,97.89,80.94
2022-05-09,127.6,137.86,88.92,94.75,77.54
2022-05-10,129.98,138.26,90.01,94.97,77.56
2022-05-11,129.04,140.06,87.34,93.46,75.63
2022-05-12,126.22,137.52,87.13,93.37,76.51
2022-05-13,127.28,135.96,90.36,95.6,78.94
2022-05-16,125.92,136.1,89.31,95.21,78.56
2022-05-17,124.98,134.1,91.62,97.17,80.96
2022-05-18,122.16,133.04,87.12,93.25,78.13
2022-05-19,120.76,131.5,86.65,92.68,78.26
2022-05-20,120.64,132.08,86.38,92.72,78.06
2022-05-23,121.54,133.4,87.82,94.45,79.0
2022-05-24,120.24,134.84,85.95,93.74,77.84
2022-05-25,119.44,133.0,87.15,94.56,79.24
2022-05-26,120.52,132.54,89.56,96.45,81.0
2022-05-27,121.68,132.06,92.49,98.82,83.18
2022-05-31,123.62,133.42,92.24,98.26,82.15
2022-06-01,123.28,132.94,91.56,97.47,81.68
2022-06-02,123.88,131.86,94.07,99.32,83.68
2022-06-03,120.48,130.38,91.62,97.69,82.92
2022-06-06,120.28,130.12,91.93,97.98,83.28
2022-06-07,118.78,128.82,92.72,98.92,84.62
2022-06-08,120.44,129.74,92.05,97.85,83.31
2022-06-09,119.74,129.64,89.58,95.52,81.37
2022-06-10,118.1,129.26,86.42,92.75,79.16
2022-06-13,118.2,131.06,82.4,89.22,75.44
2022-06-14,119.52,131.42,82.55,88.95,75.08
2022-06-15,121.58,131.36,84.6,90.23,76.18
2022-06-16,122.78,134.0,81.19,87.24,72.65
2022-06-17,123.66,132.0,82.19,87.05,73.22
2022-06-21,124.72,133.46,84.09,89.24,74.53
2022-06-22,124.8,133.48,83.97,89.08,74.38
2022-06-23,125.38,133.04,85.22,89.95,75.28
2022-06-24,126.04,133.2,88.14,92.81,77.61
2022-06-27,123.84,131.7,87.5,92.46,77.9
2022-06-28,121.5,131.38,84.83,90.58,76.43
2022-06-29,123.7,133.24,84.9,90.5,75.66
2022-06-30,122.78,133.18,83.85,89.77,75.07
2022-07-01,121.68,132.88,84.4,90.72,75.98
2022-07-05,123.44,131.6,85.85,90.89,76.61
2022-07-06,126.2,133.76,86.4,91.2,76.04
2022-07-07,125.74,132.02,88.25,92.57,77.85
2022-07-08,126.0,131.88,88.35,92.5,77.84
2022-07-11,125.76,133.62,86.47,91.44,76.27
2022-07-12,124.5,132.54,85.63,90.64,76.01
2022-07-13,124.26,131.66,85.45,90.16,75.95
2022-07-14,127.04,133.24,85.76,89.94,75.16
2022-07-15,126.5,132.9,87.31,91.66,76.73
2022-07-18,125.36,131.8,86.57,90.9,76.51
2022-07-19,124.44,130.14,89.23,93.35,79.21
2022-07-20,124.48,128.28,90.65,93.95,80.46
2022-07-21,126.34,129.3,91.95,94.91,80.87
2022-07-22,126.04,130.64,90.34,94.03,79.57
2022-07-25,123.86,129.84,89.83,94.14,79.99
2022-07-26,121.18,128.72,88.07,93.03,79.49
2022-07-27,125.06,129.36,91.78,95.45,81.3
2022-07-28,124.28,129.12,92.68,96.64,82.42
2022-07-29,126.5,130.62,94.37,98.05,83.0
2022-08-01,126.46,130.1,94.31,97.76,82.97
2022-08-02,126.06,128.98,94.03,97.11,82.89
2022-08-03,128.56,129.18,96.59,98.64,84.1
2022-08-04,129.92,129.46,97.04,98.57,83.93
2022-08-05,126.74,127.58,96.25,98.4,84.57
2022-08-08,123.98,125.22,95.94,98.28,85.47
2022-08-09,124.44,127.14,94.85,97.89,84.31
2022-08-10,124.3,125.62,97.5,99.94,86.72
2022-08-11,122.42,124.88,96.94,99.94,87.04
2022-08-12,122.24,124.18,98.83,101.63,88.82
2022-08-15,123.16,124.3,99.64,102.05,89.13
2022-08-16,122.78,124.78,99.41,102.25,89.09
2022-08-17,123.86,126.72,98.27,101.53,87.59
2022-08-18,123.02,125.98,98.51,101.82,88.17
2022-08-19,123.42,127.6,96.59,100.46,86.28
2022-08-22,122.28,127.56,94.05,98.37,84.5
2022-08-23,121.8,126.76,93.97,98.13,84.63
2022-08-24,120.86,125.88,94.24,98.45,85.28
2022-08-25,121.3,125.6,95.91,99.83,86.6
2022-08-26,119.68,125.42,91.98,96.46,83.75
2022-08-29,119.54,125.94,91.07,95.82,82.98
2022-08-30,120.12,126.54,90.06,94.77,81.82
2022-08-31,120.18,126.24,89.54,94.05,81.32
2022-09-01,122.44,129.04,89.57,94.34,80.43
2022-09-02,121.18,128.5,88.31,93.35,79.81
2022-09-06,121.72,129.72,87.67,92.99,79.01
2022-09-07,121.4,128.96,89.44,94.67,80.74
2022-09-08,120.78,128.6,89.91,95.28,81.41
2022-09-09,121.14,127.68,91.88,96.76,83.04
2022-09-12,121.1,127.4,92.97,97.8,84.05
2022-09-13,117.96,126.52,87.88,93.54,80.76
2022-09-14,118.76,126.5,88.57,93.9,81.08
