"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","518.21","519.44","519.85","512.04","52.79M","-0.33%"
"05/29/2025","519.93","526.33","526.48","517.32","58.72M","0.20%"
"05/28/2025","518.91","522.18","523.68","518.39","46.64M","-0.44%"
"05/27/2025","521.22","516.15","521.71","514.59","47.23M","2.35%"
"05/23/2025","509.24","506.18","511.84","505.58","58.37M","-0.93%"
"05/22/2025","514.00","513.66","517.71","512.30","55.61M","0.19%"
"05/21/2025","513.04","516.27","523.00","511.24","71.29M","-1.39%"
"05/20/2025","520.27","519.47","520.93","516.66","42.52M","-0.33%"
"05/19/2025","522.01","514.24","522.53","514.24","52.54M","0.10%"
"05/16/2025","521.51","520.66","521.70","517.10","48.39M","0.44%"
"05/15/2025","519.25","516.52","521.93","515.17","50.15M","0.11%"
"05/14/2025","518.68","516.77","519.23","515.75","47.01M","0.60%"
"05/13/2025","515.59","509.16","517.39","508.42","53.27M","1.52%"
"05/12/2025","507.85","506.99","507.89","501.48","45.09M","4.07%"
"05/09/2025","487.97","490.21","491.54","486.20","27.77M","-0.07%"
"05/08/2025","488.29","488.53","492.70","484.17","39.58M","1.03%"
"05/07/2025","483.30","482.08","485.80","476.78","38.11M","0.39%"
"05/06/2025","481.41","479.56","485.05","478.19","32.79M","-0.93%"
"05/05/2025","485.93","484.60","489.03","484.10","28.31M","-0.59%"
"05/02/2025","488.83","486.54","490.91","484.83","39.22M","1.48%"
"05/01/2025","481.68","483.41","487.18","480.74","43.32M","1.31%"
"04/30/2025","475.47","467.13","477.20","462.43","46.81M","-0.01%"
"04/29/2025","475.53","470.17","476.42","469.59","30.61M","0.66%"
"04/28/2025","472.41","473.03","474.81","466.03","33.55M","-0.03%"
"04/25/2025","472.56","466.97","473.09","465.39","38.70M","1.11%"
"04/24/2025","467.35","456.48","467.66","455.83","45.96M","2.81%"
"04/23/2025","454.56","458.17","463.38","452.88","55.80M","2.27%"
"04/22/2025","444.48","438.82","447.58","437.62","52.30M","2.63%"
"04/21/2025","433.11","438.23","439.08","427.93","44.15M","-2.47%"
"04/17/2025","444.10","447.17","447.75","441.36","44.84M","-0.02%"
"04/16/2025","444.18","449.03","452.62","437.76","48.98M","-3.02%"
"04/15/2025","457.99","458.54","462.38","456.15","35.40M","0.11%"
"04/14/2025","457.48","464.46","465.05","452.63","43.94M","0.68%"
"04/11/2025","454.40","444.65","455.79","441.33","52.48M","1.84%"
"04/10/2025","446.18","453.56","455.59","432.63","108.38M","-4.25%"
"04/09/2025","466.00","415.57","467.83","415.43","142.88M","12.00%"
"04/08/2025","416.06","438.16","443.14","409.79","101.25M","-1.80%"
"04/07/2025","423.69","408.66","443.14","402.39","161.56M","0.24%"
"04/04/2025","422.67","438.14","440.37","422.67","117.09M","-6.21%"
"04/03/2025","450.66","456.44","460.07","450.14","70.46M","-5.35%"
"04/02/2025","476.15","466.12","479.56","465.86","49.89M","0.73%"
"04/01/2025","472.70","467.30","473.63","464.42","41.16M","0.81%"
"03/31/2025","468.92","461.92","469.86","457.33","53.00M","0.00%"
"03/28/2025","468.94","479.81","480.52","468.05","46.36M","-2.63%"
"03/27/2025","481.62","482.41","486.58","480.25","33.47M","-0.57%"
"03/26/2025","484.38","492.30","493.16","482.82","35.04M","-1.84%"
"03/25/2025","493.46","491.39","493.62","490.42","26.04M","0.57%"
"03/24/2025","490.66","487.74","491.51","484.40","34.57M","2.04%"
"03/21/2025","480.84","474.08","481.61","472.90","42.23M","0.33%"
"03/20/2025","479.26","476.88","484.55","476.18","36.78M","-0.34%"
"03/19/2025","480.89","476.81","485.33","474.87","40.43M","1.34%"
"03/18/2025","474.54","479.41","479.61","472.41","39.07M","-1.70%"
"03/17/2025","482.77","479.61","485.84","477.80","41.74M","0.65%"
