"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2025","589.39","588.93","591.10","583.30","82.12M","-0.11%"
"05/29/2025","590.05","593.06","593.20","586.07","70.07M","0.39%"
"05/28/2025","587.73","591.56","592.77","586.98","68.45M","-0.58%"
"05/27/2025","591.15","586.07","591.31","578.43","72.59M","2.08%"
"05/23/2025","579.11","575.98","581.81","575.60","76.03M","-0.68%"
"05/22/2025","583.09","582.66","586.62","581.41","70.86M","0.04%"
"05/21/2025","582.86","588.44","592.58","581.82","95.20M","-1.69%"
"05/20/2025","592.85","593.09","594.05","589.60","60.61M","-0.34%"
"05/19/2025","594.85","588.10","595.54","588.10","68.17M","0.11%"
"05/16/2025","594.20","591.25","594.50","589.28","76.05M","0.63%"
"05/15/2025","590.46","585.56","590.97","585.10","71.27M","0.49%"
"05/14/2025","587.59","587.81","588.98","585.53","66.28M","0.13%"
"05/13/2025","586.84","583.41","589.08","582.84","67.95M","0.66%"
"05/12/2025","582.99","581.47","583.00","577.04","78.99M","3.30%"
"05/09/2025","564.34","566.48","567.50","562.76","37.60M","-0.13%"
"05/08/2025","565.06","565.24","570.31","561.70","65.13M","0.70%"
"05/07/2025","561.15","560.15","563.82","556.04","55.73M","0.42%"
"05/06/2025","558.80","557.93","563.35","556.96","48.26M","-0.84%"
"05/05/2025","563.51","562.57","566.65","561.70","38.66M","-0.57%"
"05/02/2025","566.76","564.73","568.38","562.38","60.72M","1.48%"
"05/01/2025","558.47","560.37","564.07","557.86","63.19M","0.71%"
"04/30/2025","554.54","547.57","556.52","541.52","93.10M","0.04%"
"04/29/2025","554.32","548.91","555.45","548.55","47.78M","0.63%"
"04/28/2025","550.85","551.39","553.55","545.02","47.61M","0.04%"
"04/25/2025","550.64","546.65","551.05","543.69","61.12M","0.72%"
"04/24/2025","546.69","536.72","547.43","535.45","64.15M","2.10%"
"04/23/2025","535.42","540.43","545.43","533.88","90.59M","1.55%"
